Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","SW_SPDT","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",97.000000,-70.900000,-90.000000,top
"C1","100nF","C_0402_1005Metric",111.734600,-67.995800,180.000000,top
"C2","100nF","C_0402_1005Metric",109.880400,-67.538600,-90.000000,top
"C3","100nF","C_0402_1005Metric",107.899200,-67.538600,-90.000000,top
"C4","100nF","C_0402_1005Metric",105.867200,-67.513200,-90.000000,top
"C5","10uF","C_0603_1608Metric",111.635600,-65.584000,180.000000,top
"C6","10uF","C_0603_1608Metric",108.979000,-79.248000,0.000000,top
"C7","1uF","C_0402_1005Metric",108.646000,-76.200000,0.000000,top
"C8","1uF","C_0201_0603Metric",110.655000,-84.000000,0.000000,top
"C9","100nF","C_0402_1005Metric",108.520000,-74.500000,0.000000,top
"C10","22pF","C_0805_2012Metric",105.050000,-74.000000,0.000000,top
"C11","22pF","C_0805_2012Metric",105.050000,-76.500000,180.000000,top
"C12","22pF","C_0805_2012Metric",119.500000,-86.500000,-90.000000,top
"C13","22pF","C_0805_2012Metric",126.000000,-78.500000,180.000000,top
"D1","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",130.000000,-83.500000,180.000000,top
"FB1","120R","Ferrite_0201_0603Metric",112.500000,-81.000000,0.000000,top
"H1","MountingHole_M3","MountingHole_3.2mm_M3",98.000000,-60.000000,0.000000,top
"H2","MountingHole_M3","MountingHole_3.2mm_M3",132.000000,-60.000000,0.000000,top
"H3","MountingHole_M3","MountingHole_3.2mm_M3",98.000000,-90.500000,0.000000,top
"H4","MountingHole_M3","MountingHole_3.2mm_M3",132.000000,-90.500000,0.000000,top
"I2C","I2C","PinHeader_1x04_P2.54mm_Vertical",119.000000,-90.500000,-90.000000,top
"J1","USB_A","USB A",140.595000,-74.240000,0.000000,top
"R1","10kR","R_0402_1005Metric",102.743000,-69.977000,0.000000,top
"R2","1k5","R_0402_1005Metric",123.240800,-72.390000,90.000000,top
"R3","1k5","R_0402_1005Metric",132.500000,-83.500000,180.000000,top
"R4","1k5","R_0402_1005Metric",114.490000,-84.000000,0.000000,top
"R5","1k5","R_0402_1005Metric",116.980000,-84.000000,180.000000,top
"SWD","ST-Link","PinHeader_1x04_P2.54mm_Vertical",126.080000,-60.000000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",115.000000,-74.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",125.000000,-84.500000,-90.000000,top
"USART","USART","PinHeader_1x04_P2.54mm_Vertical",105.870000,-60.000000,90.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",101.500000,-75.000000,90.000000,top
